id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
02-01,3228,2779,1540,1453,235,1342,1256,181,64,156,5,10,91,0,302,2600,56,117,4,8,71,0,239,2284,53,2492,683,43,2180,556,0,843,3,34,1095,1253,0,739,2,28,950,1060
01-41,2363,1645,865,1055,443,629,741,275,46,284,4,30,68,0,525,1406,28,153,1,19,54,0,326,1064,78,1505,780,51,1094,500,2,1033,6,22,272,1028,1,744,4,13,202,681
01-10,1522,1327,751,684,87,675,581,71,7,22,0,6,11,1,104,1371,7,15,0,5,6,1,86,1207,13,1192,317,9,1047,271,1,643,0,8,331,539,1,561,0,8,285,472
13-07,2561,1910,1241,998,322,969,727,214,124,894,8,33,144,0,413,945,98,668,6,20,95,0,279,744,151,1585,825,107,1218,585,3,1292,1,16,400,849,3,984,1,10,319,593
04-07,2830,2478,1387,1311,132,1221,1145,112,58,44,1,17,85,0,177,2448,47,37,1,10,71,0,151,2161,33,2205,592,28,1948,502,1,701,0,9,1094,1025,1,627,0,7,976,867
08-08,4420,3811,2079,1976,365,1827,1707,277,118,251,9,29,127,0,439,3447,93,219,8,23,112,0,348,3008,131,3273,1016,115,2851,845,1,1241,1,35,1297,1845,0,1118,0,29,1110,1554
20-09,2825,2378,1359,1301,165,1157,1092,129,71,122,8,19,82,0,204,2319,60,101,6,16,67,0,162,1966,48,2077,700,41,1769,568,0,773,0,26,789,1237,0,677,0,17,654,1030
20-10,3335,2773,1567,1496,272,1315,1236,222,417,105,10,21,216,0,318,2248,342,87,6,16,172,0,258,1892,80,2355,900,61,1985,727,3,900,2,13,752,1665,2,759,1,8,607,1396
08-07,2639,2295,1254,1231,154,1098,1083,114,65,91,4,20,74,1,189,2195,56,80,3,15,58,1,141,1941,42,2068,529,30,1833,432,0,647,0,15,933,1044,0,572,0,9,824,890
04-13,4912,4111,2390,2168,354,2021,1806,284,616,239,18,37,340,0,415,3247,513,197,16,31,283,0,338,2733,137,3428,1347,113,2905,1093,0,1393,2,29,1179,2309,0,1206,2,18,962,1923
