precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_JFA,party_LIB,party_NLB,party_REP,party_UNA,party_WTP,party_CST_voted,party_DEM_voted,party_GRE_voted,party_JFA_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted,party_WTP_voted
12-06,7038,6089,3502,2928,608,3093,2489,507,182,747,15,36,332,0,644,5082,145,586,11,27,253,0,532,4535,339,4410,2289,261,3867,1961,0,1782,4,0,44,40,2156,3012,0,0,1539,2,0,35,28,1948,2537,0
01-06,2879,2497,1336,1211,332,1178,1045,274,63,108,7,24,70,1,335,2271,47,88,6,23,55,1,269,2008,65,1855,959,47,1631,819,0,1252,6,0,16,5,373,1227,0,0,1124,5,0,11,3,319,1035,0
07-11,1176,1074,607,519,50,560,475,39,18,34,1,3,34,0,68,1018,14,30,1,3,31,0,56,939,13,929,234,13,858,203,0,401,0,0,7,2,278,487,1,0,383,0,0,7,2,248,434,0
12-01,7542,6478,3632,3301,609,3194,2813,471,142,653,10,40,242,0,718,5737,109,526,7,31,178,0,567,5060,239,4961,2342,174,4340,1964,0,1715,4,1,61,24,2518,3219,0,0,1490,4,1,51,15,2262,2655,0
17-11,5135,3977,2392,2057,686,1982,1587,408,410,1707,13,57,553,0,902,1493,321,1398,11,45,379,0,547,1276,610,2713,1812,393,2258,1326,0,2261,7,0,34,34,659,2139,1,0,1902,5,0,21,23,542,1484,0
19-20,4077,3468,1968,1780,329,1728,1489,251,128,682,10,20,201,0,361,2675,100,579,8,13,157,0,281,2330,148,2754,1175,128,2386,954,0,1217,3,0,18,10,1165,1664,0,0,1047,2,0,14,6,1036,1363,0
15-03,5739,4912,2721,2503,515,2372,2141,399,53,626,16,18,243,1,557,4225,41,516,14,16,170,0,424,3731,286,3842,1611,192,3371,1349,0,1341,2,0,37,12,2048,2299,0,0,1168,2,0,28,8,1829,1877,0
13-06,3108,2661,1557,1269,282,1372,1082,207,68,392,8,22,160,0,304,2154,55,308,6,17,125,0,223,1927,128,2109,871,102,1861,698,0,991,1,0,26,18,702,1369,1,0,848,1,0,16,16,638,1141,1
06-04,4605,3787,2247,1926,432,1907,1544,336,122,569,12,17,264,1,504,3116,100,424,11,12,193,1,379,2667,235,2745,1625,157,2308,1322,0,1380,4,0,34,21,1029,2137,0,0,1157,3,0,25,14,901,1687,0
01-44,3678,2982,1839,1417,422,1564,1130,288,44,744,6,29,177,0,475,2203,37,533,5,21,124,0,313,1949,180,2344,1154,114,1989,879,0,1614,1,0,24,27,603,1409,0,0,1359,1,0,17,19,517,1069,0
