id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
19-18,3062,158,1514,1375,173,77,75,6,70,500,7,30,120,222,2113,5,26,1,1,3,5,117,118,2258,686,3,126,29,0,941,0,21,963,1137,0,53,0,2,52,51
06-10,3351,138,1677,1557,117,73,64,1,75,370,12,24,123,172,2575,9,20,0,1,7,4,97,109,2339,903,0,103,35,1,885,1,21,1149,1294,0,46,0,1,36,55
01-33,1584,0,811,705,68,0,0,0,20,36,1,4,33,92,1398,0,0,0,0,0,0,0,4,1270,310,0,0,0,0,669,1,10,423,481,0,0,0,0,0,0
01-39,2432,0,1285,991,156,0,0,0,34,519,6,22,73,209,1569,0,0,0,0,0,0,0,71,1771,590,0,0,0,3,1067,3,20,482,857,0,0,0,0,0,0
12-05,7469,233,3785,3416,268,122,106,5,111,574,11,37,205,410,6121,2,9,0,0,3,11,208,203,5345,1921,2,181,50,5,1834,0,58,2685,2887,0,76,0,0,66,91
20-12,3985,369,1936,1805,244,193,164,12,397,211,19,29,237,304,2788,26,17,1,2,10,28,285,130,2754,1101,7,268,94,2,1041,3,22,1146,1771,0,150,0,1,76,142
02-06,2496,0,1229,1184,83,0,0,0,45,129,5,7,87,99,2124,0,0,0,0,0,0,0,35,2049,412,0,0,0,0,597,0,15,1062,822,0,0,0,0,0,0
04-12,2701,0,1374,1225,102,0,0,0,92,93,2,21,110,134,2249,0,0,0,0,0,0,0,67,2080,554,0,0,0,1,861,1,13,713,1112,0,0,0,0,0,0
16-10,4522,0,2405,1799,318,0,0,0,52,2941,9,58,225,473,764,0,0,0,0,0,0,0,306,2773,1443,0,0,0,0,2880,0,11,369,1262,0,0,0,0,0,0
19-07,3778,327,1950,1577,251,174,134,19,40,798,6,22,102,311,2499,2,56,1,2,3,19,244,103,2799,876,3,253,71,6,1234,3,31,1269,1235,2,132,0,2,101,90
01-23,6868,1,2628,2827,1413,0,1,0,263,761,20,193,164,1717,3750,0,0,0,0,1,0,0,277,3771,2820,0,1,0,0,1984,4,65,938,3877,0,0,0,0,0,1
10-02,3650,261,1946,1530,174,143,111,7,38,1141,13,28,148,304,1978,0,41,1,0,4,12,203,213,2488,949,2,214,45,3,1527,0,20,990,1110,0,86,0,0,99,76
08-05,2054,0,1050,930,74,0,0,0,35,114,2,13,48,107,1735,0,0,0,0,0,0,0,33,1683,338,0,0,0,1,619,1,5,680,748,0,0,0,0,0,0
04-04,1627,0,878,659,90,0,0,0,41,226,0,14,86,158,1102,0,0,0,0,0,0,0,86,1122,419,0,0,0,1,661,0,18,351,596,0,0,0,0,0,0
19-17,4907,1,2588,2080,239,1,0,0,94,1720,12,54,256,358,2413,0,0,0,0,1,0,0,262,3410,1235,0,1,0,2,2197,4,42,970,1692,0,0,0,0,1,0
20-08,4552,627,2301,2062,189,341,274,12,287,323,6,24,235,250,3427,24,25,0,1,22,16,539,140,3279,1133,6,509,112,3,1307,1,37,1294,1910,0,211,0,4,194,218
01-02,1798,1,894,753,151,0,1,0,28,46,2,17,40,181,1484,0,0,0,0,0,0,1,30,1333,435,0,1,0,0,763,0,11,288,736,0,1,0,0,0,0
01-14,3576,0,1695,1635,246,0,0,0,27,433,1,36,71,294,2714,0,0,0,0,0,0,0,81,2568,927,0,0,0,1,1761,4,22,425,1363,0,0,0,0,0,0
11-02,3935,0,2023,1693,219,0,0,0,73,327,8,36,111,263,3117,0,0,0,0,0,0,0,85,3012,838,0,0,0,1,1447,0,27,1056,1404,0,0,0,0,0,0
02-01,3007,0,1493,1395,119,0,0,0,42,143,4,8,82,168,2560,0,0,0,0,0,0,0,43,2442,522,0,0,0,0,782,1,25,1088,1111,0,0,0,0,0,0
14-01,763,0,383,351,29,0,0,0,8,47,4,3,9,42,650,0,0,0,0,0,0,0,10,595,158,0,0,0,0,172,0,7,322,262,0,0,0,0,0,0
18-08,3947,0,1942,1773,232,0,0,0,147,361,8,25,200,315,2891,0,0,0,0,0,0,0,100,2895,952,0,0,0,0,1251,0,29,1011,1656,0,0,0,0,0,0
06-04,3736,426,1917,1603,216,216,197,13,70,483,15,20,150,286,2712,6,57,0,1,11,19,332,141,2416,1179,9,317,100,2,1181,4,33,1003,1513,0,165,0,1,117,143
01-20,2710,0,1260,1196,254,0,0,0,39,1171,6,34,47,318,1095,0,0,0,0,0,0,0,65,1745,900,0,0,0,0,1545,2,25,215,923,0,0,0,0,0,0
16-01,2621,44,1352,1087,182,32,11,1,17,596,4,24,93,242,1645,2,22,0,1,2,3,14,130,1878,613,1,33,10,3,997,2,17,733,869,0,25,0,0,12,7
01-10,1469,0,740,673,56,0,0,0,7,18,0,7,13,70,1354,0,0,0,0,0,0,0,12,1181,276,0,0,0,0,598,0,2,358,511,0,0,0,0,0,0
19-03,2929,347,1521,1231,177,181,156,10,31,290,6,22,84,227,2269,2,8,0,2,5,18,312,90,2223,616,7,290,50,3,852,0,28,993,1053,0,93,0,2,125,127
