id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_GRE,party_LIB,party_NLB,party_REP,party_UNA,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted
12-10,5078,730,2488,2302,288,371,332,27,91,270,3,24,152,0,348,4190,7,13,1,5,9,0,38,657,132,3513,1433,15,537,178,1208,0,36,0,1524,2310,187,0,1,0,244,298
20-04,3612,23,1703,1590,319,12,11,0,584,131,13,24,289,0,349,2222,4,0,0,0,0,0,1,18,90,2448,1074,0,17,6,984,2,19,2,684,1921,12,0,0,0,4,7
13-09,4573,0,2299,1714,560,0,0,0,200,2028,7,42,303,0,679,1314,0,0,0,0,0,0,0,0,327,2682,1564,0,0,0,2264,3,30,0,533,1743,0,0,0,0,0,0
08-06,2056,0,1028,793,235,0,0,0,22,474,2,12,101,0,252,1193,0,0,0,0,0,0,0,0,97,1281,678,0,0,0,889,1,27,3,292,844,0,0,0,0,0,0
03-02,2766,330,1294,1224,248,158,153,19,139,180,12,15,108,0,252,2060,14,26,0,0,13,0,25,252,86,1849,831,6,231,93,678,0,16,2,760,1310,108,0,0,0,97,125
19-23,4438,447,2166,1875,397,218,199,30,106,774,10,32,221,0,426,2869,8,71,0,5,12,0,27,324,230,2896,1312,10,332,105,1401,0,33,2,1201,1801,159,0,2,0,127,159
16-07,3395,541,1714,1451,230,288,244,9,38,662,9,30,103,0,271,2282,3,120,1,1,6,0,17,393,104,2529,762,8,449,84,1354,0,20,2,783,1236,263,0,1,0,141,136
10-01,1266,0,610,565,91,0,0,0,14,191,2,3,43,0,120,893,0,0,0,0,0,0,0,0,55,907,304,0,0,0,320,0,6,0,514,426,0,0,0,0,0,0
05-01,4028,253,1913,1717,398,119,116,18,325,443,12,29,249,0,423,2547,26,24,0,0,11,0,24,168,184,2586,1258,6,159,88,1271,1,28,0,881,1847,113,0,2,0,28,110
02-01,3266,0,1581,1491,194,0,0,0,70,155,4,6,101,0,255,2675,0,0,0,0,0,0,0,0,61,2475,730,0,0,0,856,1,30,1,997,1381,0,0,0,0,0,0
17-01,2770,0,1344,1129,297,0,0,0,95,950,7,25,200,0,397,1096,0,0,0,0,0,0,0,0,201,1693,876,0,0,0,1382,4,21,0,384,979,0,0,0,0,0,0
18-03,2373,0,1168,1057,148,0,0,0,119,90,0,7,120,0,169,1868,0,0,0,0,0,0,0,0,46,1751,576,0,0,0,743,1,11,0,584,1034,0,0,0,0,0,0
01-11,2675,0,1308,1219,148,0,0,0,24,56,1,5,42,0,158,2389,0,0,0,0,0,0,0,0,32,2058,585,0,0,0,684,0,13,2,1003,973,0,0,0,0,0,0
16-11,4086,84,2096,1560,430,46,29,9,68,2146,10,29,245,1,536,1051,1,19,0,1,3,0,9,51,295,2388,1403,3,56,25,2264,1,31,5,421,1364,45,0,0,0,19,20
19-14,3084,0,1507,1301,276,0,0,0,153,551,7,12,189,0,295,1877,0,0,0,0,0,0,0,0,122,2111,851,0,0,0,986,0,24,3,870,1201,0,0,0,0,0,0
08-03,5692,17,2789,2357,546,11,5,1,213,980,21,36,273,2,573,3594,0,10,0,0,0,0,1,6,209,3775,1708,0,11,6,1987,2,37,6,1162,2498,8,0,0,1,2,6
08-09,1958,0,973,813,172,0,0,0,51,242,3,9,71,0,190,1392,0,0,0,0,0,0,0,0,81,1369,508,0,0,0,713,2,17,2,370,854,0,0,0,0,0,0
06-11,1266,214,641,504,121,116,87,11,54,108,3,9,90,0,131,871,2,28,0,2,3,0,14,165,76,782,408,4,142,68,386,1,14,1,306,558,79,0,4,0,55,76
01-18,2568,0,1251,1099,218,0,0,0,34,391,0,14,91,0,268,1770,0,0,0,0,0,0,0,0,128,1825,615,0,0,0,1028,1,17,2,553,967,0,0,0,0,0,0
01-07,2660,0,1095,1289,276,0,0,0,57,129,4,20,86,1,270,2093,0,0,0,0,0,0,0,0,88,1756,816,0,0,0,1107,1,14,0,394,1144,0,0,0,0,0,0
01-32,2568,2,1160,1133,275,1,1,0,57,458,12,11,172,0,315,1543,0,0,0,0,0,0,0,2,108,1702,758,0,2,0,1028,4,23,3,332,1178,0,0,0,0,2,0
01-23,4182,0,1419,1427,1336,0,0,0,159,395,10,63,111,0,1347,2097,0,0,0,0,0,0,0,0,165,2049,1968,0,0,0,1326,7,34,1,334,2480,0,0,0,0,0,0
04-19,1779,0,845,849,85,0,0,0,86,68,1,9,114,0,111,1390,0,0,0,0,0,0,0,0,50,1290,439,0,0,0,545,1,11,2,334,886,0,0,0,0,0,0
16-04,2843,462,1512,1162,169,267,188,7,18,686,7,17,85,0,200,1830,0,113,1,1,9,0,12,326,104,2082,657,8,376,78,1094,1,9,0,738,1001,230,0,0,0,103,129
20-06A,5178,1220,2578,2143,457,634,522,64,245,560,12,33,278,1,548,3501,52,104,1,4,37,0,67,955,265,3262,1651,37,862,321,1610,1,38,0,1117,2412,434,0,6,0,280,500
07-05,1856,0,1010,704,142,0,0,0,23,247,2,4,73,0,150,1357,0,0,0,0,0,0,0,0,58,1355,443,0,0,0,700,0,16,0,426,714,0,0,0,0,0,0
20-17,4967,1222,2310,2140,517,551,523,148,1062,272,35,26,388,0,557,2627,400,50,18,7,96,0,158,493,127,3186,1654,16,758,448,1394,1,21,1,880,2670,428,0,5,0,104,685
04-04,1567,0,806,610,151,0,0,0,42,192,1,10,107,0,171,1044,0,0,0,0,0,0,0,0,91,1019,457,0,0,0,594,0,10,2,279,682,0,0,0,0,0,0
12-06,5995,1299,2983,2519,493,682,532,85,131,650,14,31,267,0,501,4401,13,86,2,3,29,0,75,1091,284,3913,1798,33,924,342,1555,2,45,2,1887,2504,371,1,8,0,437,482
08-02,4084,0,2018,1807,259,0,0,0,104,343,6,22,123,0,312,3174,0,0,0,0,0,0,0,0,115,2962,1007,0,0,0,1289,2,26,2,926,1839,0,0,0,0,0,0
